category,name,description,image,vegetaric,vegan,bio,menu,price,date
Aktion,"Italienisches Sandwich mit Grillgemüse und Mayonnaise, dazu Birra Moretti Pils","0,33 l Flasche",,Vegetarisch,Nicht vegan,Nicht bio,Menü,8.2,2021-07-01
Aktion,Pasta Orecchiette & Gemüsebolognese,,,Vegetarisch,Vegan,Nicht bio,Kein Menü,8.9,2021-07-01
Aktion,"Italienisches Sandwich belegt mit geräuchertem Spanferkelbraten und Provola-Käse, dazu Birra Moretti Pils","0,33 l Flasche",,Nicht vegetarisch,Nicht vegan,Nicht bio,Menü,8.2,2021-07-01
Hauptgerichte,Chili con Carne,"vom Rind, mit Sour Cream & Brötchen",https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23348&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,9.9,2021-07-01
Hauptgerichte,Gemüsecurry mit Kokosreis,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23353&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,10.9,2021-07-01
Hauptgerichte,Rindergulasch nach ungarischer Art,mit Knöpfle,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,13.9,2021-07-01
Hauptgerichte,Fusilli mit Bolognese,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23350&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,9.9,2021-07-01
Hauptgerichte,Fusilli mit BIO-Tomaten-Feta-Soße,,,Vegetarisch,Nicht vegan,Bio,Kein Menü,8.9,2021-07-01
Hauptgerichte,Currywurst mit Pommes frites,,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.9,2021-07-01
Hauptgerichte,Frikadellen nach Hausmacher Art,mit Kräuter-Kartoffelsalat,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,8.9,2021-07-01
Für unsere Kleinen,Kindermenü mit Pommes frites & Ketchup oder Mayonnaise,"dazu eine Apfelschorle, 0,5 l, eine kleine Süßigkeit, einen Smoothie sowie ein lustiges Spielzeug",,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.5,2021-07-01
Für unsere Kleinen,Kindermenü mit Butter-Mandel-Kuchen,"dazu eine Apfelschorle, 0,5 l, eine kleine Süßigkeit, einen Smoothie sowie ein lustiges Spielzeug",,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.5,2021-07-01
Für unsere Kleinen,Kindermenü mit Pasta Bolognese,"dazu eine Apfelschorle, 0,5 l, eine kleine Süßigkeit, einen Smoothie sowie ein lustiges Spielzeug",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,8.9,2021-07-01
Für unsere Kleinen,Spielfigur,auch einzeln erhältlich,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.9,2021-07-01
Snacks & Kleinigkeiten,Warmes Schinken-Käse-Baguette,mit Frischkäse-Senfaufstrich,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23335&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.4,2021-07-01
Snacks & Kleinigkeiten,Currywurst mit Tortilla-Crunch & Brötchen,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23336&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.4,2021-07-01
Snacks & Kleinigkeiten,2 Flammkuchen Elsässer Art,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23338&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.4,2021-07-01
Snacks & Kleinigkeiten,Pommes frites,mit Ketchup oder Mayonnaise,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23340&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,3.2,2021-07-01
Snacks & Kleinigkeiten,Roggenvollkornbrot,belegt mit Maasdamer & Krautsalat,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23341&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.5,2021-07-01
Snacks & Kleinigkeiten,Mehrkornbrot,"mit gebackenem Hähnchen-Grillbraten, eingelegten Karottenstreifen & Kürbis-Chutney",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.5,2021-07-01
Snacks & Kleinigkeiten,Focaccia ofenfrisch mit Tomate & Olive,,,Vegetarisch,Vegan,Nicht bio,Kein Menü,3.2,2021-07-01
Snacks & Kleinigkeiten,Laugensnack mit Emmentaler & Kräuterfrischkäse,,,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.9,2021-07-01
Suppen & Salate,Couscous-Salat,mit Cashewkernen & Cranberrys,,Vegetarisch,Vegan,Nicht bio,Kein Menü,7.9,2021-07-01
Suppen & Salate,Tomatensuppe,mit Brötchen,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23361&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,5.4,2021-07-01
Frühstück,Buttercroissant,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23377&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.5,2021-07-01
Frühstück,Französisches Frühstück,"1 Croissant, 2 Brötchen, 2 Stück Butter, je 1-mal Nutella, Honig & Konfitüre",https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23378&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.9,2021-07-01
Frühstück,Butter,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-07-01
Frühstück,Honig,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-07-01
Frühstück,Nutella,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-07-01
Frühstück,Konfitüre,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-07-01
Frühstück,2 Brötchen,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23383&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,1.5,2021-07-01
Frühstück,BIO-Rührei,,,Vegetarisch,Vegan,Bio,Kein Menü,4.2,2021-07-01
Süß & Salzig,Apfel-Streusel-Kuchen,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23375&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-07-01
Süß & Salzig,Brownie American Classic,Schokolade,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23376&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-07-01
Süß & Salzig,Butter-Mandel-Kuchen,,,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-07-01
Süß & Salzig,Milchreis, mit Zimt & Zucker,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.5,2021-07-01
Süß & Salzig,Kirschkompott,,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,1.5,2021-07-01
Süß & Salzig,Schokolade,,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,1.5,2021-07-01
Süß & Salzig,M&M’s,150g,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23368&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,3.5,2021-07-01
Süß & Salzig,OREO Snack Pack,66g,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23369&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.2,2021-07-01
Süß & Salzig,Snickers Doppelpack,80 g,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23370&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.0,2021-07-01
Süß & Salzig,Twix Xtra,75 g,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23370&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.0,2021-07-01
Süß & Salzig,BE-KIND,"Riegel, Nuss & Meersalz mit Zartbitterschokolade, 40g",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.5,2021-07-01
Süß & Salzig,Eis Nuii Salted Caramel,,,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.9,2021-07-01
Süß & Salzig,Milka Eiskonfekt Herzen,,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.5,2021-07-01
Süß & Salzig,Lisas Kesselchips, Rosmarin 50g,,Vegetarisch,Vegan,Bio,Kein Menü,2.5,2021-07-01
Süß & Salzig,ültje Erdnüsse,"pikant gewürzt, 50 g",https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23374&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,2.0,2021-07-01
Aktion,"Coq au Vin mit gebackenen Kartoffelwürfeln, dazu ein Rotwein-Cuvée 2018 ROT UND WILD","0,25 l Flasche",,Nicht vegetarisch,Nicht vegan,Nicht bio,Menü,17.5,2021-10-01
Aktion,Baguette à la Ratatouille,,,Vegetarisch,Vegan,Nicht bio,Kein Menü,5.4,2021-10-01
Aktion,Ratatouille,mit Couscous,,Vegetarisch,Vegan,Nicht bio,Kein Menü,8.9,2021-10-01
Hauptgerichte,Chili con Carne,"vom Rind, mit Sour Cream & Brötchen",https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23348&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,9.9,2021-10-01
Hauptgerichte,Gemüsecurry mit Kokosreis,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23353&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,10.9,2021-10-01
Hauptgerichte,Rindergulasch nach ungarischer Art,mit Knöpfle,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,13.9,2021-10-01
Hauptgerichte,Fusilli mit Bolognese,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23350&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,9.9,2021-10-01
Hauptgerichte,Fusilli mit BIO-Tomaten-Feta-Soße,,,Vegetarisch,Nicht vegan,Bio,Kein Menü,8.9,2021-10-01
Hauptgerichte,Currywurst mit Pommes frites,,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.9,2021-10-01
Hauptgerichte,Frikadellen nach Hausmacher Art,mit Kräuter-Kartoffelsalat,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,8.9,2021-10-01
Für unsere Kleinen,Kindermenü mit Pommes frites & Ketchup oder Mayonnaise,"dazu eine Apfelschorle, 0,5 l, eine kleine Süßigkeit, einen Smoothie sowie ein lustiges Spielzeug",,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.5,2021-10-01
Für unsere Kleinen,Kindermenü mit Butter-Mandel-Kuchen,"dazu eine Apfelschorle, 0,5 l, eine kleine Süßigkeit, einen Smoothie sowie ein lustiges Spielzeug",,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,7.5,2021-10-01
Für unsere Kleinen,Kindermenü mit Pasta Bolognese,"dazu eine Apfelschorle, 0,5 l, eine kleine Süßigkeit, einen Smoothie sowie ein lustiges Spielzeug",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,8.9,2021-10-01
Für unsere Kleinen,Spielfigur,auch einzeln erhältlich,,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.9,2021-10-01
Snacks & Kleinigkeiten,Warmes Schinken-Käse-Baguette,mit Frischkäse-Senfaufstrich,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23335&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.4,2021-10-01
Snacks & Kleinigkeiten,Currywurst mit Tortilla-Crunch & Brötchen,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23336&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.4,2021-10-01
Snacks & Kleinigkeiten,2 Flammkuchen Elsässer Art,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23338&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.4,2021-10-01
Snacks & Kleinigkeiten,Pommes frites,mit Ketchup oder Mayonnaise,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23340&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,3.2,2021-10-01
Snacks & Kleinigkeiten,Roggenvollkornbrot,belegt mit Maasdamer & Krautsalat,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23341&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.5,2021-10-01
Snacks & Kleinigkeiten,Mehrkornbrot,"mit gebackenem Hähnchen-Grillbraten, eingelegten Karottenstreifen & Kürbis-Chutney",,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.5,2021-10-01
Snacks & Kleinigkeiten,Focaccia ofenfrisch mit Tomate & Olive,,,Vegetarisch,Vegan,Nicht bio,Kein Menü,3.2,2021-10-01
Snacks & Kleinigkeiten,Laugensnack mit Emmentaler & Kräuterfrischkäse,,,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,4.9,2021-10-01
Suppen & Salate,Couscous-Salat,mit Cashewkernen & Cranberrys,,Vegetarisch,Vegan,Nicht bio,Kein Menü,7.9,2021-10-01
Suppen & Salate,Tomatensuppe,mit Brötchen,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23361&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,5.4,2021-10-01
Snacks,Portion Ketchup,,,Vegetarisch,Vegan,Nicht bio,Kein Menü,0.5,2021-10-01
Snacks,Portion Mayonnaise,,,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.5,2021-10-01
Snacks,Portion Senf,,,Vegetarisch,Vegan,Nicht bio,Kein Menü,0.5,2021-10-01
Frühstück,Buttercroissant,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23377&type=normal,Vegetarisch,Nicht vegan,Nicht bio,Kein Menü,2.5,2021-10-01
Frühstück,Französisches Frühstück,"1 Croissant, 2 Brötchen, 2 Stück Butter, je 1-mal Nutella, Honig & Konfitüre",https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23378&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,5.9,2021-10-01
Frühstück,Butter,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-10-01
Frühstück,Honig,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-10-01
Frühstück,Nutella,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-10-01
Frühstück,Konfitüre,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23382&type=normal,Nicht vegetarisch,Nicht vegan,Nicht bio,Kein Menü,0.8,2021-10-01
Frühstück,2 Brötchen,,https://web.archive.org/web/20220805132547im_/https://db-bordgastronomie.de/files/art-img/?id=23383&type=normal,Vegetarisch,Vegan,Nicht bio,Kein Menü,1.5,2021-10-01
Frühstück,BIO-Rührei,,,Vegetarisch,Vegan,Bio,Kein Menü,4.2,2021-10-01
